ID,question,ground_truth,F1,Semantic Similarity,RR,NDCG@3,Precision@3,Type,response_time
1,What are the organelles that eukaryotic cells have?,"The cell nucleus, which contains most of the cell's DNA, or mitochondria, which generate adenosine triphosphate (ATP) to power cellular processes.",1,1,1,1,1,factual,10.931730508804321
2,What is the mechanical advantage of a screw thread?,"The mechanical advantage of a screw thread depends on its lead, which is the linear distance the screw travels in one revolution.",1,1.0000001192092896,1,0.9725044904464192,1,inferential,9.978397846221924
3,What is anti-incumbency?,"Anti-incumbency is sentiment in favor of voting out incumbent politicians, for the specific reason of being incumbent politicians. It is sometimes referred to as a ""throw the bums out"" sentiment.",1,1.0000001192092896,1,0.9777813616305049,1,factual,10.802757501602173
4,Why is limerence associated with decreased satisfaction?,"As romantic obsession continues inside a relationship over a longer time, the correlation is with decreased satisfaction. This is speculated to be due to low self-esteem and insecure or anxious attachment. Other studies have found that anxious attachment mediated the relationship between neuroticism and its related love styles, and the mania love attitude (which has been related to limerence) mediated the relationship between neuroticism and relationship satisfaction. In some cases, limerence can be extinguished quite quickly after a relationship is established, because with more routine contact the participants begin to notice things they don't like about each other.",0.06557377,0.5296693444252014,1,1,1,comparative,9.716367483139038
5,What is the most important role for uranium and thorium fuel precursors synthesis?,"Radiochemistry, radiation chemistry and nuclear chemical engineering play a very important role for uranium and thorium fuel precursors synthesis, starting from ores of these elements, fuel fabrication, coolant chemistry, fuel reprocessing, radioactive waste treatment and storage, monitoring of radioactive elements release during reactor operation and radioactive geological storage, etc.",1,1,0.5,0.9151505377371351,1,comparative,13.18098497390747
6,"What is the term for the services that are provided by specialist teams of providers in larger, more specialised hospitals or regional medical centers?","Tertiary care medical services are provided by specialist teams of providers in larger, more specialised hospitals or regional medical centers, which are equipped with diagnostic and treatment facilities not typically available at local (often smaller) hospitals.",0.7222222222222222,0.9610406160354614,1,1,1,factual,10.192560195922852
7,What is the biological phenomenon of triboluminescence?,Triboluminescence is thought to be controlled by recombination of free radicals during mechanical activation.,0.5625,0.7889745235443115,1,1,1,multi-hop,12.889139175415039
8,What would benefit the well being of older generations?,"This would benefit the well being of older generations, as well as combating isolation to create a sense of belonging.",0.6111111111111112,0.672031045,1,0.9777813616305049,1,comparative,11.173651933670044
9,What is the difference between the two types of literature?,The digital era has blurred the lines between online electronic literature and other forms of modern media.,0.071428571,0.14109328389167786,0.5,0.9725044904464192,1,comparative,9.619643688201904
10,What does the LinkML schema tries to anchor the meaning of free text strings by establishing identity via resolvable URIs?,"Each element in the schema can be assigned URIs from existing vocabularies, allowing for increased interoperability. The LinkML schema tries to anchor the meaning of free text strings by establishing identity via resolvable URIs.",0.060606060606060615,0.5768694877624512,1,1,1,factual,10.238281965255737
11,What is the most important factor in art valuation?,"Information available from internet-based art sale history databases generally does not include the condition of a work, a very important factor, therefore the prices quoted in those databases reflect auction hammer prices without other, crucial valuation factors. Additionally, the databases of auctioned work do not cover private sales of works, and thus their use for art valuation is but one source among many needed for determining value.",0.12307692307692307,0.5680179595947266,1,0.9298593499260985,1,factual,11.936668634414673
12,Why does the mass media have grown as an institution?,"The mass media's current, fragmented, high-choice environment has induced a movement of the audience from more even-toned political programming to more antagonistic and one sided broadcasts and articles.",1,1.0000001192092896,0.3333333333333333,0.9049765583210164,1,multi-hop,11.257172107696533
13,What was the name of the person who served as both a student and instructor at the Chicago School?,Stanley Lefevre Krebs,0.5454545454545454,0.7477008104324341,1,1,1,comparative,9.534168481826782
14,What is the risk that the code is broken?,"The code is tested so many times (as it is used every time a record is stored or retrieved). This risk is mitigated because the code is tested so many times (as it is used every time a record is stored or retrieved). Additionally, data agnostic storage mediums can increase load speed, as the code has to search for the field definitions and display format as well as the specific data to be displayed. The load speed can be improved by pre-shredding the data. This uses a copy of the record with the data already extracted to index the fields, instead of having to extract the fields and formatting information at the same time as the data. While this improves the speed, it adds a non-data agnostic element to the process; however, it can be created easily through code generation.",0.40625,0.5274948477745056,1,0.9514426589871553,1,inferential,11.719715595245361
15,What is the risk of gestational diabetes associated with classical CAH?,Classical CAH is associated with higher risk of gestational diabetes.,1,1.0000001192092896,1,0.9514426589871553,1,inferential,9.108999729156494
16,What is the code used to do?,"Every time a record is stored or retrieved, the code has to search for the field definitions and display format as well as the specific data to be displayed.",0.15384615384615383,0.15118253231048584,1,0.8213137146137828,0.6666666666666666,factual,9.130712985992432
17,What can cause vision with both eyes to be worse than with one eye alone?,Binocular interaction occurs when there is an interaction between the two eyes.,0.5714285714285715,0.9118837118148804,1,1,1,multi-hop,11.249680280685425
18,Why is Turner's work closely linked to Durkheim's seminal work in The Ritual Process?,Turner's work is closely linked to Durkheim's seminal work in The Ritual Process.,0,0.17123568058013916,1,1,0.3333333333333333,comparative,24.74465584754944
19,What can be seen as serious threats to the objective understanding of a nation's past?,Marketing of memory by the culture industry and its instrumentalisation for political purposes can both be seen as serious threats to the objective understanding of a nation's past.,0.6470588235294118,0.6671303510665894,1,1,1,multi-hop,11.088985443115234
20,What is the most important role in the manufacture of integrated circuits?,In semiconductors it plays an important role e.g. in trapping impurities during integrated circuit manufacture.,0.7857142857142857,0.6837059259414673,1,1,1,multi-hop,10.597049951553345
21,How is carbon black different from other materials?,"Carbon black particles with a high surface area are darker, have higher viscosity and lower wettability, are harder to disperse, retain greater conductivity and absorb UV radiation well.",0.08,0.6472140550613403,1,0.9777813616305049,1,comparative,19.769101858139038
22,What is the oldest piece of art found in Europe?,"The oldest piece of art found in Europe is the Riesenhirschknochen der Einhornhöhle, dating back 51,000 years and made by Neanderthals.",0.2803738317757009,0.8378397226333618,1,1,1,comparative,43.41592764854431
23,Where is Shopska salad considered a national dish of Bulgaria?,"Bulgaria, Croatia, Czechia, North Macedonia, and Serbia",0.6666666666666666,0.5186964273452759,1,1,1,factual,10.111833095550537
24,What is the relationship between music and individual behavior?,The lyrics of songs involving aggression and violence in the lyrics are more likely to act in an aggressive manner.,0,0.5039017200469971,0,1,1,multi-hop,9.668029546737671
25,What is the non-diagonal term in the overlap matrix?,"Non-diagonal terms in the overlap matrix would be non-zero, and must be included in determining the weight of a constituent orbital.",0,0.15752695500850677,1,0.9298593499260985,1,factual,13.648499250411987
26,What is the most common IV dye for CLE?,Fluorescein is the most popular IV dye for CLE.,1,1,1,1,1,factual,8.986886739730835
27,Why did women secluding women in special quarters guard their chastity?,It was also a way to signify that a family's wealth was great enough that their daughters and wives did not need to work.,0.7368421052631579,0.5156128406524658,1,1,1,comparative,11.778071165084839
28,What is the effect of a compound in which there are no unpaired electrons?,"The effect is weak because it depends on the magnitude of the induced magnetic moment. It depends on the number of electron pairs and the chemical nature of the atoms to which they belong. This means that the effects are additive, and a table of ""diamagnetic contributions"", or Pascal's constants, can be put together. With paramagnetic compounds the observed susceptibility can be adjusted by adding to it the so called diamagnetic correction, which is the diamagnetic susceptibility calculated with the values from the table. A metal ion with a single unpaired electron, such as Cu2+, in a coordination complex provides the simplest illustration of the mechanism of paramagnetism. The individual metal ions are kept far apart by the ligands, so that there is no magnetic interaction between them. The system is said to be magnetically dilute.",0.22535211267605632,0.5840716361999512,1,1,0.6666666666666666,multi-hop,9.078300714492798
29,What is the oldest piece of art found in Europe?,"The oldest piece of art found in Europe is the Riesenhirschknochen der Einhornhöhle, dating back 51,000 years and made by Neanderthals.",0.2803738317757009,0.8378397226333618,1,1,1,inferential,25.75378942489624
30,What is the field of study concerned with?,"Molecular engineering is an emerging field of study concerned with the design and testing of molecular properties, behavior and interactions in order to assemble better materials, systems, and processes for specific functions.",0.17142857142857143,0.16691067814826965,0,0.8675034925694372,0.6666666666666666,multi-hop,11.081503868103027
